Donna Summer;191
Gordon Lightfoot;189
Bob Dylan;188
George Strait;188
Alabama;187
Cher;187
Loretta Lynn;187
Reba Mcentire;187
Chaka Khan;186
Dean Martin;186
Hank Williams Jr.;185
Neil Young;185
America;184
Cliff Richard;184
Indigo Girls;184
Nazareth;184
Johnny Cash;183
Kiss;183
Chris Rea;182
Bon Jovi;181
Dolly Parton;180
Fleetwood Mac;180
Deep Purple;179
Rolling Stones;179
Rod Stewart;178
Roy Orbison;178
The Beatles;178
Iggy Pop;177
James Taylor;177
Morrissey;177
Randy Travis;177
Michael Jackson;176
Michael W. Smith;176
Bruce Springsteen;175
Dusty Springfield;175
Elton John;175
Rush;175
Air Supply;174
Alice Cooper;174
Green Day;174
Kenny Rogers;174
Moody Blues;174
Emmylou Harris;173
Kenny Chesney;173
Neil Diamond;173
Red Hot Chili Peppers;173
Hillsong;172
Kylie Minogue;172
Nick Cave;172
Ramones;172
Aerosmith;171
Vince Gill;171
Bee Gees;170
Cheap Trick;170
Gary Numan;170
John Prine;170
Joni Mitchell;170
Kinks;170
Kris Kristofferson;170
Paul McCartney;169
Carly Simon;168
Dave Matthews Band;168
Elvis Presley;168
John Denver;168
Uriah Heep;168
Depeche Mode;167
Diana Ross;167
Michael Bolton;167
Ray Charles;167
Scorpions;167
Korn;166
Marilyn Manson;166
Robbie Williams;166
David Bowie;165
Grateful Dead;165
Backstreet Boys;164
Glee;164
Hillsong United;164
Jimmy Buffett;164
Lou Reed;164
Pearl Jam;164
Pet Shop Boys;164
Ella Fitzgerald;163
Phish;163
Queen;163
Who;163
Conway Twitty;162
David Allan Coe;162
Helloween;162
Status Quo;162
Cyndi Lauper;161
Chicago;160
Hank Williams;160
Marianne Faithfull;160
Tom T. Hall;160
Glen Campbell;159
Judas Priest;159
Mariah Carey;159
Bette Midler;158
Bob Seger;158
Britney Spears;158
