the;498048
i;429009
you;426055
to;297013
and;294705
a;260624
me;202431
my;170996
in;167969
it;149445
of;140077
your;119642
that;114934
on;113366
i'm;105835
all;98623
be;93867
is;93642
love;92539
for;90786
don't;81028
so;74630
but;74596
we;74180
know;72551
it's;68750
just;67308
with;66820
no;64467
like;63617
oh;63040
when;60421
this;57173
what;54915
can;54202
do;53505
up;53414
now;51962
got;50299
if;48750
down;45591
one;44945
go;44280
was;44041
out;43783
time;43479
get;43450
you're;42946
are;42000
baby;41135
see;41100
want;39818
never;39506
will;39491
have;38238
she;38049
they;37630
come;36289
can't;36247
not;35516
yeah;34570
say;34250
he;34180
from;34053
way;33479
her;31720
at;31520
let;31509
i'll;31263
as;30636
take;30196
there;29804
make;29714
back;28854
gonna;28137
away;27348
how;27249
heart;27087
life;26453
i've;26243
here;25304
feel;25258
day;24985
night;24747
right;24298
been;24033
by;23853
could;23546
more;23517
need;23167
man;22756
where;22583
tell;22396
chorus;21988
there's;21313
little;20710
world;20508
only;20401
through;20254
his;20212
well;20209
